year,movie_name,release_date,opening_day,opening_weekend,week_1,lifetime_collection
2011,Mummy Punjabi,31 Aug 2011,N.A. Cr,N.A. Cr,0.16 Cr,0.20 Cr
2011,Shabri,26 Aug 2011,0 CrN.A,0 CrN.A,0.27 Cr,0.37 Cr
2011,Stand By,26 Aug 2011,N.A. Cr,N.A. Cr,0.25 Cr,0.35 Cr
2011,Chitkabrey – Shades Of Grey,26 Aug 2011,0 CrN.A,0 CrN.A,0.15 Cr,0.26 Cr
2011,Yeh Dooriyan,26 Aug 2011,N.A. Cr,N.A. Cr,0.26 Cr,0.37 Cr
2011,Not A Love Story,19 Aug 2011,N.A. Cr,N.A. Cr,3.50 Cr,4.11 Cr
2011,Sahi Dhandhe Galat Bande,19 Aug 2011,0 CrN.A,0 CrN.A,0.61 Cr,0.65 Cr
2011,5ters – Castle Of Dark Master,19 Aug 2011,N.A. Cr,N.A. Cr,N.A. Cr,0.01 Cr
2011,Chatur Singh Two Star,19 Aug 2011,N.A. Cr,1.61 Cr,2.60 Cr,3.26 Cr
2011,Aarakshan,12 Aug 2011,0 CrN.A,16.90 Cr,26.52 Cr,40.04 Cr
2011,Phhir,12 Aug 2011,N.A. Cr,N.A. Cr,1.91 Cr,2.50 Cr
2011,I Am Kalam,05 Aug 2011,N.A. Cr,N.A. Cr,0.60 Cr,0.70 Cr
2011,Chala Mussaddi – Office Office,05 Aug 2011,N.A. Cr,N.A. Cr,1.35 Cr,1.57 Cr
2011,Warning,05 Aug 2011,0 CrN.A,0 CrN.A,0 CrN.A,0.20 Cr
2011,Gandhi To Hitler,29 Jul 2011,N.A. Cr,N.A. Cr,0.26 Cr,0.36 Cr
2011,Bubble Gum,29 Jul 2011,0 CrN.A,0 CrN.A,0.11 Cr,0.16 Cr
2011,Khap,29 Jul 2011,N.A. Cr,N.A. Cr,0.12 Cr,0.15 Cr
2011,Singham,22 Jul 2011,8.94 Cr,30.98 Cr,51.25 Cr,100.30 Cr
2011,Zindagi Na Milegi Dobara,15 Jul 2011,8.00 Cr,28.25 Cr,45.40 Cr,90.27 Cr
2011,Murder 2,08 Jul 2011,7.10 Cr,22.35 Cr,36.50 Cr,47.90 Cr
2011,Chillar Party,08 Jul 2011,0.45 Cr,3.15 Cr,5.10 Cr,6.55 Cr
2011,Bbuddah…Hoga Terra Baap,01 Jul 2011,1.90 Cr,7.32 Cr,11.55 Cr,13.50 Cr
2011,Delhi Belly,01 Jul 2011,7.15 Cr,26.15 Cr,35.02 Cr,52.00 Cr
2011,Double Dhamaal,24 Jun 2011,7.62 Cr,22.78 Cr,36.59 Cr,43.88 Cr
2011,Bheja Fry 2,17 Jun 2011,2.05 Cr,6.65 Cr,8.25 Cr,10.50 Cr
2011,Cycle Kick,17 Jun 2011,N.A. Cr,N.A. Cr,0.02 Cr,0.04 Cr
2011,Always Kabhi Kabhi,17 Jun 2011,N.A. Cr,N.A. Cr,2.51 Cr,2.88 Cr
2011,Bin Bulaye Baarati,17 Jun 2011,0 CrN.A,0 CrN.A,2.76 Cr,3.76 Cr
2011,Bhindi Baazaar Inc,17 Jun 2011,N.A. Cr,N.A. Cr,1.16 Cr,1.21 Cr
2011,Love Express,10 Jun 2011,N.A. Cr,N.A. Cr,0.15 Cr,0.27 Cr
2011,Shaitan,10 Jun 2011,0.81 Cr,3.41 Cr,5.25 Cr,8.19 Cr
2011,Ready,03 Jun 2011,13.15 Cr,40.65 Cr,68.02 Cr,119.78 Cr
2011,A Strange Love Story,03 Jun 2011,0 CrN.A,0 CrN.A,0.05 Cr,0.06 Cr
2011,Kucch Luv Jaisaa,27 May 2011,0 CrN.A,0 CrN.A,2.38 Cr,2.92 Cr
2011,Sheetalbhabhi.com,27 May 2011,0 CrN.A,0 CrN.A,0.15 Cr,0.17 Cr
2011,Kashmakash,20 May 2011,N.A. Cr,N.A. Cr,0.27 Cr,0.30 Cr
2011,404,20 May 2011,0 CrN.A,0 CrN.A,0.71 Cr,0.99 Cr
2011,Pyaar Ka Punchnama,20 May 2011,0.92 Cr,3.25 Cr,5.56 Cr,9.00 Cr
2011,Love U… Mr. Kalakaar!,13 May 2011,N.A. Cr,0.86 Cr,1.31 Cr,1.93 Cr
2011,Shagird,13 May 2011,0 CrN.A,0 CrN.A,1.82 Cr,2.07 Cr
2011,Stanley Ka Dabba,13 May 2011,N.A. Cr,N.A. Cr,2.60 Cr,5.70 Cr
2011,Ragini MMS,12 May 2011,0 CrN.A,0 CrN.A,8.06 Cr,9.87 Cr
2011,Luv Ka The End,06 May 2011,0.60 Cr,2.45 Cr,4.28 Cr,5.88 Cr
2011,Haunted – 3D,06 May 2011,2.67 Cr,9.33 Cr,14.63 Cr,25.56 Cr
2011,Naughty @ 40,29 Apr 2011,N.A. Cr,N.A. Cr,N.A. Cr,4.12 Cr
2011,Queens! Destiny Of Dance,29 Apr 2011,0 CrN.A,0 CrN.A,0 CrN.A,0.09 Cr
2011,Men Will Be Men,29 Apr 2011,N.A. Cr,N.A. Cr,N.A. Cr,0.19 Cr
2011,I Am,29 Apr 2011,0 CrN.A,0 CrN.A,0 CrN.A,0.41 Cr
2011,Chalo Dilli,29 Apr 2011,0 CrN.A,3.88 Cr,6.22 Cr,6.48 Cr
2011,Shor In The City,28 Apr 2011,N.A. Cr,2.34 Cr,3.73 Cr,3.96 Cr
2011,Zokkomon,22 Apr 2011,N.A. Cr,N.A. Cr,N.A. Cr,0.61 Cr
2011,Dum Maaro Dum,22 Apr 2011,5.40 Cr,16.50 Cr,23.80 Cr,31.74 Cr
2011,Teen Thay Bhai,15 Apr 2011,0.60 Cr,2.30 Cr,N.A. Cr,2.93 Cr
2011,Thank You,08 Apr 2011,5.00 Cr,18.50 Cr,30.50 Cr,46.57 Cr
